policy,condition,seed,cell,episode,success,failure_mode,frames,duration_s,n_releases,n_kept,nearest_release_deg,max_travel_deg,n_rel_12,n_rel_11,n_rel_10,n_rel_9,n_rel_8
clean,clean,1000,distractors,11,1,success,413,13.733,1,1,2.518635823690712,45.83422374530733,1,1,1,1,1
clean,clean,1000,distractors,12,1,success,490,16.3,1,1,1.324792581058606,48.03748496273006,1,1,1,1,1
clean,clean,1000,distractors,13,1,success,601,20.0,2,1,1.0407297612165642,47.499234486850106,2,2,2,2,2
clean,clean,1000,distractors,14,1,success,455,15.133,1,1,3.5941760952604547,46.26139353886145,1,1,1,1,1
clean,clean,1000,distractors,15,1,success,551,18.333,1,1,1.9267555118847532,48.0690788575712,1,1,1,1,1
clean,clean,1000,in_distribution,1,1,success,472,15.7,1,1,3.5474627948654422,46.120757919461525,1,1,1,1,1
clean,clean,1000,in_distribution,2,1,success,451,15.0,1,1,2.621578766854004,46.340737400291495,1,1,1,1,1
clean,clean,1000,in_distribution,3,1,success,472,15.7,1,1,2.4054148689261687,47.989130726492355,1,1,1,1,2
clean,clean,1000,in_distribution,4,1,success,419,13.933,1,1,1.5530672006302915,47.194071077445436,1,1,1,1,1
clean,clean,1000,in_distribution,5,1,success,451,15.0,1,1,2.002761416721892,47.73994186398626,1,1,1,1,1
clean,clean,1000,in_distribution,6,1,success,801,26.667,2,1,3.5861143421016557,42.50784416282965,2,2,2,2,3
clean,clean,1000,in_distribution,7,1,success,460,15.3,1,1,2.53450604332917,45.47516635815413,1,1,1,1,1
clean,clean,1000,in_distribution,8,1,success,451,15.0,1,1,1.8281781455554302,47.09029228824099,1,1,1,1,1
clean,clean,1000,in_distribution,9,1,success_after_missed_grasp,458,15.233,1,1,1.2643258139864848,46.86555644541495,1,1,1,1,1
clean,clean,1000,in_distribution,10,1,success,611,20.333,2,1,1.8598172701607005,47.63259896936825,2,2,2,2,2
clean,clean,1000,in_distribution,11,1,success,451,15.0,1,1,2.502300642076978,47.69748739818186,1,1,1,1,1
clean,clean,1000,in_distribution,12,1,success,601,20.0,1,1,1.0794247290263392,47.941755262350455,1,1,1,1,1
clean,clean,1000,in_distribution,13,1,success,554,18.433,1,1,3.4795493994267126,45.796480411734876,1,1,1,1,1
clean,clean,1000,in_distribution,14,1,success,474,15.767,1,1,1.9877071420283663,46.78712622522036,1,1,1,1,1
clean,clean,1000,in_distribution,15,1,success,426,14.167,1,1,3.109928148562954,45.66193452777762,1,1,1,1,1
clean,clean,1000,near_1in,1,0,contact_no_grasp,1148,38.233,2,0,49.17560526126513,0.8532884473898079,2,2,2,2,2
clean,clean,1000,near_1in,2,0,contact_no_grasp,1149,38.267,3,0,46.10118441204895,2.63747599903796,3,3,3,3,3
clean,clean,1000,near_1in,3,0,contact_no_grasp,1151,38.333,2,0,51.54840753574895,3.728280411406814,2,2,2,2,2
clean,clean,1000,near_1in,4,0,contact_no_grasp,1146,38.167,4,0,47.25010002537395,2.295674671496208,4,4,4,5,5
clean,clean,1000,near_1in,5,0,timeout_other,1151,38.333,0,0,,,0,0,0,0,0
clean,clean,1000,near_1in,6,0,contact_no_grasp,1151,38.333,2,0,49.475051628483584,2.2431267315282355,2,2,2,2,2
clean,clean,1000,near_1in,7,0,no_departure,1147,38.2,0,0,,,0,0,0,0,0
clean,clean,1000,near_1in,8,0,contact_no_grasp,1146,38.167,1,1,29.812620890057527,20.201777583788555,1,1,1,1,1
clean,clean,1000,near_2in,1,0,no_departure,1148,38.233,0,0,,,0,0,0,0,0
clean,clean,1000,near_2in,2,0,timeout_other,1142,38.033,0,0,,,0,0,0,0,0
clean,clean,1000,near_2in,3,0,timeout_other,1148,38.233,2,0,46.505855111733496,3.40767013295595,2,2,2,2,2
clean,clean,1000,near_2in,4,0,timeout_other,1147,38.2,2,0,46.91979610387443,2.0703363682119402,2,2,2,2,2
clean,clean,1000,near_2in,5,0,timeout_other,1147,38.2,2,1,36.24629001749457,12.532263045556332,2,2,2,2,2
clean,clean,1000,near_2in,6,0,timeout_other,1151,38.333,3,0,44.85110067150518,5.308411168389853,3,3,3,3,3
clean,clean,1000,near_2in,7,0,timeout_other,1151,38.333,3,0,50.09029039967761,5.233438311365475,3,3,3,3,3
clean,clean,1000,near_2in,8,0,timeout_other,1148,38.233,3,0,44.9688011821093,3.7377081034423796,3,3,4,3,3
clean,clean,1000,new_positions,1,0,timeout_other,1146,38.167,2,0,46.36326375733252,2.000734997975826,2,2,2,2,2
clean,clean,1000,new_positions,2,0,timeout_other,1148,38.233,2,0,48.21978093858921,1.425421444175953,2,2,3,2,1
clean,clean,1000,new_positions,3,0,timeout_other,1144,38.1,2,0,46.980724214540686,1.5025906585465592,2,2,2,2,2
clean,clean,1000,new_positions,4,0,no_departure,1140,37.967,0,0,,,0,0,0,0,0
clean,clean,1000,new_positions,5,0,timeout_other,1143,38.067,2,0,49.879798314171865,1.0232130528507355,2,2,2,2,2
clean,clean,1000,new_positions,6,0,no_departure,1143,38.067,0,0,,,0,0,0,0,0
clean,clean,1000,new_positions,7,0,timeout_other,1139,37.933,2,0,47.29120483501666,2.3126267870926966,2,2,2,2,2
clean,clean,1000,new_positions,8,0,timeout_other,1143,38.067,3,0,48.803373348415704,2.394894300476203,3,2,2,2,2
clean,clean,1000,new_positions,9,0,timeout_other,1146,38.167,0,0,,,0,0,0,0,0
clean,clean,1000,new_positions,10,0,timeout_other,1148,38.233,4,0,47.59953251871998,2.9929801359210018,4,3,3,3,3
clean,clean,1000,new_positions,11,0,timeout_other,1145,38.133,3,1,37.72559096589453,10.58016632673696,3,3,3,3,3
clean,clean,1000,new_positions,12,0,timeout_other,1144,38.1,2,0,44.36009449345114,2.372663871405571,2,2,2,2,3
clean,clean,1000,new_positions,13,0,timeout_other,1080,35.967,1,0,47.597958522928195,1.3790030418430774,1,1,1,1,1
clean,clean,1000,new_positions,14,0,timeout_other,1068,35.567,1,0,47.6723940503547,0.0679767171085146,1,1,1,1,1
clean,clean,1000,new_positions,15,0,timeout_other,1062,35.367,5,0,45.002153610179874,5.099795213500279,5,4,2,1,1
clean,clean,1000,reduced_lighting,1,1,success,746,24.833,1,1,2.010213472660201,47.11555220691315,1,1,1,1,1
clean,clean,1000,reduced_lighting,2,1,success,593,19.733,1,1,3.4403840420699616,45.06161072360359,1,1,1,1,1
clean,clean,1000,reduced_lighting,3,1,success,539,17.933,1,1,2.1631244500454123,46.464223702323316,1,1,1,1,1
clean,clean,1000,reduced_lighting,4,1,success,621,20.667,1,1,4.0493612047176235,44.80419728078783,1,1,1,1,1
clean,clean,1000,reduced_lighting,5,1,success,504,16.767,1,1,3.857807726049021,44.71845069394733,1,1,1,1,1
clean,clean,1000,reduced_lighting,6,0,timeout_other,1151,38.333,0,0,,,0,0,0,0,0
clean,clean,1000,reduced_lighting,7,1,success,604,20.1,1,1,3.4062084322921997,45.88228127429233,1,1,2,2,2
clean,clean,1000,reduced_lighting,8,1,success,514,17.1,1,1,5.171817406025692,43.82230794963821,1,1,1,1,1
clean,clean,1000,reduced_lighting,9,1,success,633,21.067,2,1,2.9643118275368714,45.69933049676154,2,2,2,2,2
clean,clean,1000,reduced_lighting,10,0,contact_no_grasp,1151,38.333,4,0,39.700271810540045,9.90282347100925,4,4,5,5,5
clean,clean,1000,reduced_lighting,11,1,success,621,20.667,1,1,2.302674555106183,45.83757436623419,1,1,1,1,1
clean,clean,1000,reduced_lighting,12,1,success,613,20.4,1,1,3.6611740402731634,44.64728980144396,1,1,1,1,1
clean,clean,1000,reduced_lighting,13,1,success,784,26.1,1,1,3.7063350551631906,45.58347897891511,1,1,1,1,1
clean,clean,1000,reduced_lighting,14,0,contact_no_grasp,1151,38.333,5,0,40.90200583782253,9.053197729918809,5,6,6,6,6
clean,clean,1000,reduced_lighting,15,1,success,1061,35.333,1,1,2.0142732962886463,47.01347224764948,1,1,1,1,1
color-seed2000,color,2000,different_object,1,1,success,400,13.3,1,1,1.2459028264604406,48.48736552544988,1,1,1,1,1
color-seed2000,color,2000,different_object,2,1,success,372,12.367,1,1,2.508515211668641,48.11590613697182,1,1,1,1,1
color-seed2000,color,2000,different_object,3,1,success,368,12.233,1,1,1.9259685139888667,47.41836185939242,1,1,1,1,1
color-seed2000,color,2000,different_object,4,1,success,401,13.333,1,1,2.9601036502820754,46.87119750159743,1,1,1,1,1
color-seed2000,color,2000,different_object,5,1,success,413,13.733,1,1,2.221993701848408,48.60856681979779,1,1,1,1,1
color-seed2000,color,2000,different_object,6,1,success,399,13.267,1,1,2.66010186156009,47.719056568100896,1,1,1,1,1
color-seed2000,color,2000,different_object,7,1,success,401,13.333,1,1,2.106978030043134,48.11886235435546,1,1,1,1,1
color-seed2000,color,2000,different_object,8,1,success,383,12.733,1,1,2.998512765982543,47.0952494703898,1,1,1,1,1
color-seed2000,color,2000,different_object,9,1,success,399,13.267,1,1,2.1194560173717356,47.666678692046055,1,1,1,1,1
color-seed2000,color,2000,different_object,10,1,success,382,12.7,1,1,1.9622789686336368,48.34972773481659,1,1,1,1,1
color-seed2000,color,2000,different_object,11,1,success,344,11.433,1,1,2.0613104417948414,47.98667927327642,1,1,1,1,1
